ID,NOMBRE,NOMBRE_CIUDAD,DIRECCION,ID_ESTADO,NOMBRE_ESTADO,NUM_DERBIS,NUM_LIBRES,NUM_OCUPADOS,LAT,LON,ID_EXTERNO
"10","01-Pz. Marina","MALAGA","Plaza de la Marina 1 Málaga","5","Con incidencia","255","33","12",36.718507,-4.420138,"1"
"18","02-Pz. Torrijos","MALAGA","Plaza de Torrijo","0","Correcto","30","18","12",36.720893,-4.410078,"2"
"5","03-Pza.Jesús el Rico","MALAGA","Plaza Jesús el Rico","5","Con incidencia","255","11","10",36.723308,-4.417041,"3"
"11","04-C.A.C.","MALAGA","Av. Comandante Benítez (Centro de Arte Contemporáneo)","0","Correcto","24","18","6",36.71543,-4.425562,"4"
"8","05-E. Usos Mult.","MALAGA","Paseo Antonio Machado (Edif. Usos Múltiples)","5","Con incidencia","27","10","16",36.70994, -4.427964,"5"
"3","06-Princesa","MALAGA","Paseo Antonio Machado (C/ Princesa)","5","Con incidencia","255","12","17",36.699694,-4.43573,"6"
"6","07-Diputación","MALAGA","Paseo Antonio Banderas (Diputación)","5","Con incidencia","24","17","6",36.689061,-4.442755,"7"
"12","08-Mnez. Maldonado","MALAGA","C/ Martínez Maldonado (Junta de distrito 4)","5","Con incidencia","255","12","11",36.721596,-4.438069,"8"
"7","09-Cdad. Deportiva","MALAGA","Avda. Santa Rosa de Lima (Ciudad Deportiva)","5","Con incidencia","255","17","13",36.721244,-4.448941,"9"
"1","10-G. Ginachero","MALAGA","Av. Dr. Gálvez Ginachero.","0","Correcto","24","17","7",36.726922,-4.427657,"10"
"9","11-Cdad. Jardín","MALAGA","Polideportivo Ciudad Jadín","0","Correcto","24","16","8",36.749820,-4.423711,"11"
"15","12-Rectorado","MALAGA","Av.Cervantes (Rectorado)","0","Correcto","24","14","10",36.719897,-4.416343,"12"
"26","13-Av. Andalucia","MALAGA","Avda Andalucía (plaza de Manuél Alcántara)","5","Con incidencia","255","10","13",36.717187,-4.430084,"13"
"2","14-Est. Autobuses","MALAGA","Estación de Autobuses","5","Con incidencia","255","17","1",36.71276,-4.432968,"14"
"20","15-Col. Sta. Inés","MALAGA","Navarro Ledesma ( Colonia Sta. Inés )","0","Correcto","27","20","7",36.724267,-4.470409,"15"
"21","16-Cdad. Justicia","MALAGA","Bulevar Luis Pasteur (Ciudad de la Justicia)","5","Con incidencia","255","15","12",36.718124,-4.463405,"16"
"16","17-Pso. Farola","MALAGA","C/ Velez Málaga (Paseo de la farola)","5","Con incidencia","255","6","18",36.718577,-4.411662,"17"
"14","18-Marmoles","MALAGA","C/. Mármoles (Esq. C/. Jaboneros)","5","Con incidencia","21","6","14",36.721803,-4.428937,"18"
"13","19-Arroyo Ángeles","MALAGA","Arroyo de los Ángeles","0","Correcto","21","14","7",36.731595,-4.436969,"19"
"4","20-Barbarela","MALAGA","Avenida Juan XXIII ( Barbarela )","5","Con incidencia","255","17","7",36.711781,-4.445869,"20"
"22","21-Baños del Carmen","MALAGA","Avda Pintor Joaquín Sorolla, 119","5","Con incidencia","45","17","22",36.721221,-4.386125,"21"
"27","22-Avda.Velázquez","MALAGA","Avda. Velázquez (Bda.La Paz-La Luz)","0","Correcto","27","14","13",36.694401,-4.452416,"27"
"23","23-Subestación Autobuses Interurbanos","MALAGA","Avd. Manuel Agustín Heredia (Subestación Autobuses Interurbanos)","0","Correcto","15","10","5",36.715627,-4.421376,"23"
"28","24-El Palo-Echeverría","MALAGA","Avda. Juan Sebastián Elcano nº 174","0","Correcto","27","19","8",36.721166, -4.361931,"24"
"25","25-pruebas","MALAGA","Navarro ledesma","6","Sin Conexión","27","14","12",36.724267,-4.470409,"25"
